HouseHoldNumber,Year,Age,Education,Marriage,Work Type,Number of People in a Household,House Type,House Size,Living Type,Savings,Deposit,Living House Price,Nonliving House Price,Housing Credit Loan,Living House Credit Loan,Credit Loan,Income,Income 2,Transfer Income,Region,Income Level,Weight
874200301,2015,58,4,2,3,2,2,82,3,813,3000,0,39000,0,0,600,4460,0,0,A0402,A1904,2177.039372
874200321,2015,64,2,2,9,6,1,83,1,11188,0,5000,3500,0,0,0,6000,0,0,A0402,A1904,2382.755734
874200341,2015,45,4,2,7,5,2,89,1,3054,0,11000,1600,1712,1712,0,2579,0,286,A0402,A1902,2634.66416
874200381,2015,42,6,2,2,3,2,79,1,5330,0,14000,0,0,0,0,0,4000,0,A0402,A1903,2463.858884
874200391,2015,48,4,2,8,4,2,57,1,650,0,7000,0,800,800,0,3000,0,0,A0402,A1902,2204.433035
874505301,2015,61,4,4,9,2,1,79,1,50,0,5000,0,0,0,0,1800,0,635,A0402,A1902,1586.997423
874505381,2015,57,3,4,,3,1,42,2,40,1200,0,0,0,0,0,0,0,1200,A0402,A1901,1790.000583
874505391,2015,62,5,2,6,3,1,33,1,737,0,1850,0,0,0,250,1400,2000,227,A0402,A1903,2013.595748
875200301,2015,56,4,2,7,4,2,50,1,6872,0,7000,3000,300,300,0,8000,0,0,A0402,A1905,2393.327471
875200321,2015,41,5,2,7,3,2,84,1,8478,0,27000,7000,0,0,0,5100,0,0,A0402,A1904,2665.900686
875200371,2015,60,2,3,,2,1,141,1,2600,0,10000,0,0,0,0,2000,0,360,A0402,A1902,1972.045716
875200381,2015,54,4,2,8,4,1,145,1,4134,0,8000,0,0,0,0,4300,0,0,A0402,A1903,2060.663999
875200391,2015,40,5,2,5,4,2,79,1,7038,0,12500,0,0,0,0,1200,7000,0,A0402,A1905,2626.309048
875505301,2015,72,3,2,6,2,1,95,1,730,0,6500,800,0,0,1000,0,1500,672,A0402,A1902,1785.234488
876200311,2015,50,4,2,8,4,2,47,2,1975,4800,0,0,0,0,0,5500,0,0,A0402,A1904,2308.155407
876200321,2015,48,4,4,8,3,2,47,1,4390,0,8000,0,0,0,0,2762,300,0,A0402,A1903,1531.954383
877200301,2015,45,4,2,5,4,2,60,1,2612,0,10000,0,1500,1500,0,3700,0,0,A0402,A1903,2713.368379
877200321,2015,48,6,2,5,5,2,129,1,13405,0,18000,3000,5000,5000,0,2200,3000,0,A0402,A1904,2367.251721
877200341,2015,53,5,2,4,4,2,85,1,22317,0,20000,10000,0,0,1500,11600,0,0,A0402,A1905,2490.530669
877200351,2015,76,2,2,9,2,1,150,1,11552,0,10000,28000,0,0,0,200,0,0,A0402,A1901,1837.404307
877200361,2015,57,3,4,7,1,1,82,1,19890,0,5000,6000,0,0,0,0,5000,0,A0402,A1904,2248.831011
877200371,2015,57,3,2,8,4,1,66,1,4600,0,3000,15000,0,0,800,2000,2200,0,A0402,A1903,1913.469564
877200381,2015,79,2,3,,1,1,73,1,1130,0,14000,0,0,0,0,0,0,1440,A0402,A1901,1837.404307
877200391,2015,68,3,2,6,2,1,112,1,10650,0,10000,31500,0,0,0,0,800,1520,A0402,A1902,1694.302521
878200301,2015,54,4,2,8,4,1,99,1,14505,0,10000,71400,0,0,0,7560,400,0,A0402,A1905,2098.468481
878200311,2015,43,5,2,3,4,2,85,1,26540,0,10000,0,0,0,2000,18100,0,0,A0402,A1905,2165.238594
878200321,2015,64,1,3,6,1,1,66,1,3320,0,1500,1500,0,0,0,0,300,492,A0402,A1901,2178.103065
878200351,2015,78,2,3,,1,1,56,1,70,0,4000,0,0,0,0,0,0,209,A0402,A1901,2207.137244
878200391,2015,74,3,2,9,3,3,79,1,326,0,6500,0,800,800,0,180,0,540,A0402,A1901,2009.311871
879200321,2015,68,4,2,9,2,2,60,1,839,0,11000,0,900,900,0,1500,0,526,A0402,A1902,1707.656307
879504361,2015,57,2,3,,1,1,20,4,10,0,0,0,0,0,0,0,0,384,A0402,A1901,1510.593267
